bst, avl, splay_order, splay_random_1, splay_random_2, splay_random_3, splay_random_4, splay_random_5,
597,8,3,13,0,0,0,0, 
598,9,3,17,0,0,0,0, 
599,6,1,11,0,0,0,0, 
600,9,3,11,0,0,0,0, 
601,8,1,15,0,0,0,0, 
602,9,2,9,0,0,0,0, 
603,7,1,15,0,0,0,0, 
604,9,6,12,0,0,0,0, 
605,8,3,13,0,0,0,0, 
606,9,3,11,0,0,0,0, 
607,4,1,12,0,0,0,0, 
608,9,3,14,0,0,0,0, 
609,8,1,8,0,0,0,0, 
610,9,2,7,0,0,0,0, 
611,7,1,14,0,0,0,0, 
612,9,5,17,0,0,0,0, 
613,8,2,13,0,0,0,0, 
614,9,3,19,0,0,0,0, 
615,6,1,14,0,0,0,0, 
616,9,3,18,0,0,0,0, 
617,8,1,9,0,0,0,0, 
618,9,2,12,0,0,0,0, 
619,7,1,8,0,0,0,0, 
620,9,7,13,0,0,0,0, 
621,8,3,16,0,0,0,0, 
622,9,3,16,0,0,0,0, 
623,5,1,15,0,0,0,0, 
624,9,3,18,0,0,0,0, 
625,8,1,14,0,0,0,0, 
626,9,2,13,0,0,0,0, 
627,7,1,12,0,0,0,0, 
628,9,5,14,0,0,0,0, 
629,8,2,12,0,0,0,0, 
630,9,3,18,0,0,0,0, 
631,6,1,11,0,0,0,0, 
632,9,3,9,0,0,0,0, 
633,8,1,17,0,0,0,0, 
634,9,2,7,0,0,0,0, 
635,7,1,12,0,0,0,0, 
636,9,5,16,0,0,0,0, 
637,8,2,12,0,0,0,0, 
638,9,3,16,0,0,0,0, 
639,2,1,16,0,0,0,0, 
640,9,3,10,0,0,0,0, 
641,8,1,12,0,0,0,0, 
642,9,2,9,0,0,0,0, 
643,7,1,10,0,0,0,0, 
644,9,4,9,0,0,0,0, 
645,8,2,16,0,0,0,0, 
646,9,3,10,0,0,0,0, 
647,6,1,14,0,0,0,0, 
648,9,3,13,0,0,0,0, 
649,8,1,15,0,0,0,0, 
650,9,2,15,0,0,0,0, 
651,7,1,15,0,0,0,0, 
652,9,7,15,0,0,0,0, 
653,8,3,17,0,0,0,0, 
654,9,3,13,0,0,0,0, 
655,5,1,16,0,0,0,0, 
656,9,3,9,0,0,0,0, 
657,8,1,13,0,0,0,0, 
658,9,2,9,0,0,0,0, 
659,7,1,12,0,0,0,0, 
660,9,5,13,0,0,0,0, 
661,8,2,9,0,0,0,0, 
662,9,3,8,0,0,0,0, 
663,6,1,10,0,0,0,0, 
664,9,3,13,0,0,0,0, 
665,8,1,13,0,0,0,0, 
666,9,2,20,0,0,0,0, 
667,7,1,9,0,0,0,0, 
668,9,5,16,0,0,0,0, 
669,8,2,15,0,0,0,0, 
670,9,3,19,0,0,0,0, 
671,4,1,11,0,0,0,0, 
672,9,3,10,0,0,0,0, 
673,8,1,18,0,0,0,0, 
674,9,2,12,0,0,0,0, 
675,7,1,14,0,0,0,0, 
676,9,4,9,0,0,0,0, 
677,8,2,14,0,0,0,0, 
678,9,3,18,0,0,0,0, 
679,6,1,7,0,0,0,0, 
680,9,3,13,0,0,0,0, 
681,8,1,9,0,0,0,0, 
682,9,2,11,0,0,0,0, 
683,7,1,16,0,0,0,0, 
684,9,6,17,0,0,0,0, 
685,8,3,18,0,0,0,0, 
686,9,3,6,0,0,0,0, 
687,5,1,12,0,0,0,0, 
688,9,3,16,0,0,0,0, 
689,8,1,12,0,0,0,0, 
690,9,2,8,0,0,0,0, 
691,7,1,19,0,0,0,0, 
692,9,5,20,0,0,0,0, 
693,8,2,7,0,0,0,0, 
694,9,3,15,0,0,0,0, 
695,6,1,12,0,0,0,0, 
696,9,3,16,0,0,0,0, 
697,8,1,9,0,0,0,0, 
698,9,2,9,0,0,0,0, 
699,7,1,16,0,0,0,0, 
700,9,5,11,0,0,0,0, 
701,8,2,17,0,0,0,0, 
702,9,3,9,0,0,0,0, 
703,3,1,18,0,0,0,0, 
704,9,3,11,0,0,0,0, 
705,8,1,16,0,0,0,0, 
706,9,2,15,0,0,0,0, 
707,7,1,10,0,0,0,0, 
708,9,4,13,0,0,0,0, 
709,8,2,9,0,0,0,0, 
710,9,3,14,0,0,0,0, 
711,6,1,17,0,0,0,0, 
712,9,3,8,0,0,0,0, 
713,8,1,13,0,0,0,0, 
714,9,2,11,0,0,0,0, 
715,7,1,12,0,0,0,0, 
716,9,8,11,0,0,0,0, 
717,8,4,10,0,0,0,0, 
718,9,4,8,0,0,0,0, 
719,5,2,15,0,0,0,0, 
720,9,4,7,0,0,0,0, 
721,8,2,12,0,0,0,0, 
722,9,3,7,0,0,0,0, 
723,7,1,4,0,0,0,0, 
724,9,6,14,0,0,0,0, 
725,8,3,15,0,0,0,0, 
726,9,3,13,0,0,0,0, 
727,6,1,14,0,0,0,0, 
728,9,3,17,0,0,0,0, 
729,8,1,11,0,0,0,0, 
730,9,2,16,0,0,0,0, 
731,7,1,11,0,0,0,0, 
732,9,6,9,0,0,0,0, 
733,8,3,22,0,0,0,0, 
734,9,3,8,0,0,0,0, 
735,4,1,20,0,0,0,0, 
736,9,3,9,0,0,0,0, 
737,8,1,7,0,0,0,0, 
738,9,2,13,0,0,0,0, 
739,7,1,16,0,0,0,0, 
740,9,5,7,0,0,0,0, 
741,8,2,17,0,0,0,0, 
742,9,3,12,0,0,0,0, 
743,6,1,12,0,0,0,0, 
744,9,3,16,0,0,0,0, 
745,8,1,12,0,0,0,0, 
